"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha189",-0.00153468204871114,-0.007,0.312,0.97,-0.005,0.0799,942.469,-0.162589197312984,0.149799504459927,-0.00673417987371561
"alpha19",-0.023991851429045,-0.059,1.401,0.98,-0.035,0.3576,1216.131,-0.768080438287408,0.633306537543442,-0.0607365890524795
"alpha190",0.0196256460593764,0.024,0.307,0.97,0.004,0.0785,936.44,-0.13007563909168,0.176654014065572,0.0237112973739784
"alpha191",-0.0103144381916975,-0.011,0.315,0.9,0,0.0803,945.691,-0.168336208311439,0.146682157048763,-0.010848915776438
"alpha192",0.000558289249739441,-0.003,0.312,0.93,-0.004,0.08,931.974,-0.159586977041401,0.152807699044935,-0.00315005721386539
"alpha2",-0.0162902707168226,-0.043,1.406,0.91,-0.027,0.3577,1215.009,-0.74883367238104,0.656868812260079,-0.0433880912149973
"alpha20",0.0283955549081778,0.026,1.413,0.91,-0.002,0.359,1217.191,-0.680541061242555,0.732477538550295,0.0256782907389991
"alpha21",0.0145180137208188,-0.012,1.409,0.95,-0.026,0.3579,1254.274,-0.721244547525495,0.688204281453571,-0.012349237153105
"alpha22",0.0485438355856377,0.009,1.404,0.96,-0.039,0.358,1234.303,-0.697908480323909,0.705942481305061,0.00894007069735442
"alpha23",0.0250405796579443,0.006,1.411,0.94,-0.019,0.3587,1218.627,-0.705001499659715,0.705935920342267,0.00534049243243416
"alpha24",0.110630688595492,0.012,1.398,0.93,-0.099,0.3552,1219.77,-0.686820280250939,0.711213101747622,0.0118940810923484
"alpha25",-0.0192725573568969,-0.027,1.395,0.97,-0.008,0.3549,1264.663,-0.729963198393248,0.664605412419762,-0.0281064638347336
"alpha26",-0.0100415620786528,0.042,1.405,0.99,0.052,0.3577,1243.393,-0.666559797636424,0.73858439146503,0.0406313391585099
"alpha27",0.0466785945456882,0.006,1.394,0.96,-0.04,0.3558,1243.513,-0.68974526184089,0.703984239341854,0.00692268572934384
"alpha28",-0.0268886563727377,-0.012,1.415,0.97,0.015,0.3603,1199.958,-0.72862056031002,0.686098068835526,-0.0141851017460772
"alpha29",-0.00355853750032842,0.036,1.401,0.95,0.039,0.3558,1247.242,-0.667499773066733,0.733373365214385,0.0356053063993958
"alpha3",-0.0303039610800607,-0.064,1.404,0.94,-0.034,0.357,1229.734,-0.771249216519973,0.632657992262979,-0.0650386615609906
"alpha30",-0.0166487450528535,0.025,1.405,0.93,0.042,0.3575,1221.48,-0.679936016344581,0.724800450456244,0.0248691317985506
"alpha31",0.00646031595033822,0.005,1.4,0.97,-0.001,0.3566,1261.094,-0.699944721027424,0.700113708489718,0.00310883735293661
"alpha32",0.0270426047561263,0.07,1.387,0.96,0.042,0.3532,1288.735,-0.626420960636897,0.760314016867128,0.0687805194653551
"alpha33",-0.0513681292442509,-0.003,1.392,0.97,0.049,0.3544,1264.357,-0.705374015669505,0.686357058875724,-0.00415601020456329
"alpha34",-0.0435507443925686,-0.019,1.41,0.89,0.025,0.3581,1226.227,-0.728346685816063,0.681766119821538,-0.0196571501815008
"alpha35",0.0808644284026574,0.025,1.394,0.95,-0.056,0.3548,1268.603,-0.678184799135443,0.71537205912968,0.0236384291063845
"alpha36",-0.0382117541853267,-0.059,1.408,0.95,-0.021,0.3588,1240.997,-0.771365558518207,0.636273089464976,-0.0603371446362971
"alpha37",0.0369311217085298,0.001,1.406,0.95,-0.036,0.3577,1218.133,-0.701793946843208,0.704026997753259,0.00109548762754177
"alpha38",0.024628650486476,0.032,1.38,0.96,0.007,0.3523,1283.653,-0.661191966668286,0.718945250069006,0.0311906186450924
"alpha39",0.0175002036571663,0.003,1.41,0.9,-0.014,0.3589,1209.214,-0.706104187414366,0.703411953162965,0.00177424762562514
"alpha4",-0.00209398405781384,-0.018,1.411,0.96,-0.016,0.3591,1231.898,-0.733027863509404,0.678080264215802,-0.0205124029398278
"alpha40",0.0316995295090327,0.007,1.408,0.95,-0.024,0.3581,1226.169,-0.699362112854101,0.709005601633039,0.00739932761701143
"alpha41",0.0264871476683808,0.013,1.403,0.92,-0.013,0.3573,1251.603,-0.692677331179359,0.710489862175383,0.0118112295741332
"alpha42",-0.0483734115015077,-0.048,1.394,0.99,0,0.3553,1246.986,-0.754067267636221,0.639996135486297,-0.0506937566774494
"alpha43",-0.0271968543319057,-0.055,1.405,0.96,-0.027,0.357,1237.197,-0.766245611256131,0.639205819808265,-0.0567435197507007
"alpha44",0.013479169492637,0.041,1.384,0.89,0.027,0.3534,1227.705,-0.652170546917204,0.731579498963191,0.0402446169854495
"alpha45",-0.052465303142584,-0.041,1.414,0.97,0.011,0.3599,1221.816,-0.753244081941543,0.660283686383602,-0.0425706224453373
"alpha46",0.0222902127594018,-0.007,1.411,0.94,-0.029,0.3595,1242.335,-0.713074872756366,0.698136555723956,-0.00774593962184524
"alpha47",0.0356430636762513,0.008,1.397,0.96,-0.028,0.3548,1264.188,-0.694480917397721,0.702253555908451,0.00710100496079332
"alpha48",-0.00194945117416985,0.043,1.404,0.95,0.045,0.3581,1216.302,-0.663026666929146,0.741372049006037,0.0413922598701386
"alpha49",0.00145091861672303,-0.006,0.496,0.96,-0.007,0.1267,808.791,-0.250534911692899,0.245013137039684,-0.00467147315108263
"alpha5",-0.06546229797094,-0.043,1.402,0.96,0.023,0.3574,1280.03,-0.752137767161136,0.64938811944387,-0.0446114961725483
"alpha50",0.0127874697107856,0.015,0.506,0.92,0.002,0.1294,799.234,-0.233380876893409,0.272444339887706,0.0165019232619882
"alpha51",0.00443416038873721,0.009,0.499,0.95,0.004,0.1275,799.552,-0.23757736843938,0.261533301378196,0.00945892605237462
"alpha52",-0.0352884416146494,-0.036,0.501,0.96,-0.001,0.1278,790.087,-0.28608275734562,0.215286755924157,-0.0363655208099842
"alpha53",0.0236404679971985,0.018,0.497,0.94,-0.006,0.1267,880.821,-0.226188671150389,0.270688309685581,0.0190360941208937
"alpha54",-0.0281814600660338,-0.013,0.51,0.94,0.015,0.1301,830.402,-0.266565296603184,0.242945468202921,-0.0128857446647019
"alpha55",0.00949672113252517,0,0.494,0.95,-0.009,0.1258,847.502,-0.241050413026193,0.253165928721758,0.00155343150447712
"alpha56",0.000684047609505942,0,0.499,0.97,-0.001,0.1272,796.909,-0.243225484212675,0.25621510930739,0.00152699220842498
"alpha57",-0.00621315945849334,-0.002,0.527,0.95,0.004,0.1345,770.284,-0.259728172688564,0.267647781531538,-0.000263547503774516
"alpha58",0.000664337972016385,0.004,0.498,0.97,0.003,0.1272,812.886,-0.239093505688359,0.258741058314652,0.00525643808318964
