"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha137",-0.0459352659927535,-0.035,0.985,0.97,0.011,0.252,1333.59,-0.53052445697604,0.454683559574603,-0.0358924996675276
"alpha138",-0.0243043490659373,-0.001,0.976,0.92,0.023,0.2489,1394.232,-0.487630228621705,0.487884076434085,-0.000482750426133777
"alpha139",0.000936725894310755,-0.051,0.983,0.92,-0.052,0.2509,1382.832,-0.54230934432325,0.441052206064849,-0.050598061117223
"alpha14",-0.000548649550655556,0.038,1.391,0.99,0.038,0.3552,1260.373,-0.659711658763418,0.731173845025725,0.0374583409629568
"alpha140",0.00610002262205086,0.015,0.979,0.97,0.008,0.2497,1355.837,-0.473196846797699,0.505793836924325,0.0149825099339962
"alpha141",-0.017626739193814,-0.007,0.978,0.93,0.011,0.2501,1332.884,-0.496103371235108,0.481986226190917,-0.00654680110171616
"alpha142",-0.00842003056363513,-0.008,0.985,0.92,0.001,0.251,1335.627,-0.498998120973358,0.486111459256142,-0.00730709130760162
"alpha143",0.0740362792205535,0.063,0.982,0.92,-0.011,0.2506,1395.928,-0.428676137517306,0.55320897733517,0.062686669847782
"alpha144",0.0218385082788783,0.035,0.988,0.91,0.013,0.2526,1318.61,-0.458335587208593,0.530028567256866,0.0356781103189565
"alpha145",0.019709302749664,0.012,0.308,0.97,-0.008,0.0785,920.364,-0.14187475565459,0.165631780021898,0.0117185675878825
"alpha146",0.000675145946753632,0.005,0.309,0.92,0.004,0.0791,931.034,-0.149320183069977,0.159858728352529,0.00478558876456858
