"parameter","truth","med","width","cover","bias","sd","n_eff","lower","upper","mean"
"alpha3",-0.0303039610800607,-0.078,1.319,0.93,-0.048,0.3367,958.345,-0.748734452667409,0.570426996522104,-0.08187941049114
"alpha30",-0.0166487450528535,0.03,1.305,0.91,0.046,0.3333,968.669,-0.631701933202426,0.673437509094335,0.0276994795556833
"alpha31",0.00646031595033822,0.003,1.315,0.98,-0.004,0.3347,956.389,-0.657674860034539,0.657340877883696,0.00229079430460334
"alpha32",0.0270426047561263,0.075,1.292,0.91,0.048,0.3295,989.081,-0.573816200672509,0.718132829394439,0.0738819649592951
"alpha33",-0.0513681292442509,-0.006,1.309,0.91,0.045,0.3332,953.356,-0.663042442077789,0.64620853786276,-0.00706697688987278
"alpha34",-0.0435507443925686,-0.027,1.318,0.83,0.016,0.3361,952.326,-0.693054371560274,0.624530820189693,-0.029455428839458
"alpha35",0.0808644284026574,0.031,1.297,0.9,-0.05,0.3303,990.768,-0.621284076541001,0.676038777539851,0.02984812043493
"alpha36",-0.0382117541853267,-0.081,1.338,0.95,-0.043,0.3409,940.648,-0.764044951220074,0.574235444481855,-0.0844722351149078
"alpha37",0.0369311217085298,0.006,1.318,0.92,-0.031,0.3355,946.637,-0.65948696560975,0.658033011377547,0.00422560026194939
"alpha38",0.024628650486476,0.044,1.293,0.96,0.019,0.33,955.629,-0.604029544536,0.689275373279397,0.0433721953059758
"alpha39",0.0175002036571663,0.007,1.325,0.83,-0.01,0.3371,947.473,-0.662456672865744,0.662554918722103,0.00528892385397634
"alpha4",-0.00209398405781384,-0.015,1.328,0.94,-0.013,0.338,957.996,-0.687358926870177,0.64111362475031,-0.0168335790672001
"alpha40",0.0316995295090327,0.016,1.315,0.9,-0.016,0.335,965.552,-0.643866039505515,0.671431527530233,0.0146116390980555
"alpha41",0.0264871476683808,0.012,1.315,0.87,-0.014,0.3358,953.477,-0.65252379125652,0.662252849623171,0.00985675437681615
"alpha42",-0.0483734115015077,-0.069,1.322,0.97,-0.021,0.3363,928.336,-0.738022527977937,0.584399224260777,-0.0708744079964189
"alpha43",-0.0271968543319057,-0.057,1.32,0.96,-0.03,0.3372,918.432,-0.728998692469611,0.590650725672852,-0.060349389076037
"alpha44",0.013479169492637,0.044,1.304,0.86,0.031,0.3323,961.409,-0.609901824024121,0.693787187471896,0.0438676155225048
"alpha45",-0.052465303142584,-0.053,1.329,0.93,-0.001,0.3394,938.791,-0.727706051841236,0.601530453410745,-0.0555443035935676
"alpha46",0.0222902127594018,-0.008,1.328,0.91,-0.03,0.3387,928.837,-0.686416890699382,0.641362780263699,-0.0114240774959795
"alpha47",0.0356430636762513,0.003,1.309,0.92,-0.032,0.3334,986.133,-0.657869108175048,0.650655930871741,0.00128347822219833
"alpha48",-0.00194945117416985,0.054,1.317,0.94,0.056,0.3364,958.791,-0.609624785052462,0.707654753061142,0.0526698646878215
"alpha49",0.00145091861672303,-0.01,0.469,0.92,-0.011,0.1196,531.411,-0.240696455994011,0.228339550144317,-0.00898774107127244
"alpha5",-0.06546229797094,-0.062,1.312,0.91,0.004,0.3356,978.677,-0.723359907787717,0.588742608614895,-0.0630995913307476
